2408102001,Santos Reis
2408102002,Praia do Mei
2408102003,Rocas
2408102004,Ribeira
2408102005,Petrópolis
2408102006,Areia Preta
2408102007,Mãe Luíza
2408102008,Tirol
2408102009,Cidade Alta
2408102010,Lagoa Seca
2408102011,Alecrim
2408102012,Quintas
2408102013,Nordeste
2408102014,Bom Pastor
2408102015,Cidade da Esperança
2408102016,Dix-Sept Rosado
2408102017,Lagoa Nova
2408102018,Nova Descoberta
2408102019,Candelária
2408102020,Cidade Nova
2408102021,Filipe Camarão
2408102022,Guarapés
2408102023,Pitimbú
2408102024,Neópolis
2408102025,Capim Macio
2408102026,Ponta Negra 
2408102028,Igapó
2408102029,Nossa Senhora da Apresentação
2408102031,Potengi
2408102032,Salinas
2408102033,Lagoa Azul
2408102034,Pajuçara
2408102035,Redinha
2408102036,Barro Vermelho
2408102037,Nossa Senhora de Nazaré
2408102038,Planalto
